Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
1344-078,13:47:01.5230,-08:03:23.840,0.763,0.235,0.027,0.019,0.005
1346-391,13:49:51.1675,-39:22:50.268,1.093,0.070,0.022,0.039,0.214
1349-145,13:51:52.649611,-14:49:14.555740,1.085,0.997,0.769,0.436,0.373
1337-875,13:52:16.27,-87:50:38.91,0.101,0.086,0.044,0.002,
J1352-4150,13:52:48.34660,-41:50:29.8122,0.158,0.125,0.104,0.083,0.110
1349-439,13:52:56.535,-44:12:40.39,0.253,0.302,0.376,0.249,0.285
J1353-8751,13:53:03.22410,-87:51:08.1489,0.465,0.317,0.178,0.120,
1351-018,13:54:06.895319,-02:06:03.190510,0.890,0.861,0.583,0.373,0.170
J1354-7353,13:54:44.90872,-73:53:41.9668,0.216,0.263,0.236,0.168,0.177
J1354-1041,13:54:46.5186,-10:41:02.656,0.473,0.781,0.774,0.785,1.296
J1355-5236,13:55:32.65015,-52:36:43.6814,0.121,0.133,0.116,0.058,0.053
1352-63,13:55:46.632,-63:26:42.62,1.274,1.266,0.861,0.583,0.713
1353-341,13:56:05.3836,-34:21:10.824,0.586,0.565,0.312,0.147,0.091
1354-174,13:57:06.074200,-17:44:01.904130,1.117,0.695,0.323,0.173,0.073
1354-152,13:57:11.244974,-15:27:28.786530,0.471,0.624,0.952,0.419,0.589
1356+022,13:59:27.1478,01:59:54.543,0.555,0.456,0.640,0.823,0.558
J1400-5604,14:00:41.77778,-56:04:55.5728,0.282,0.267,0.215,0.209,0.425
1402-012,14:04:45.895457,-01:30:21.946690,0.574,0.487,0.255,0.119,0.002
1402+044,14:05:01.119812,04:15:35.818950,0.979,0.839,0.618,0.506,0.240
J1405-6904,14:05:28.38408,-69:04:02.1538,0.365,0.265,0.170,0.133,0.135
J1407-4302,14:07:39.72102,-43:02:31.9379,0.128,0.190,0.166,0.157,0.273
J1408-5712,14:08:26.11576,-57:12:53.5261,0.189,0.179,0.164,0.183,0.331
1406-076,14:08:56.481200,-07:52:26.666330,0.199,0.988,0.918,1.205,0.883
1406-267,14:09:50.169776,-26:57:36.979720,0.492,0.633,0.641,0.332,0.265
1407+022,14:10:04.6563,02:03:06.883,0.579,0.616,0.767,0.387,0.149
1412-368,14:15:26.01634694,-37:05:26.9701647,0.433,0.436,0.301,0.215,0.143
1414-59,14:17:41.640,-59:50:37.53,0.468,0.840,1.010,0.850,0.769
1416+067,14:19:08.180173,06:28:34.803490,2.145,1.055,0.223,0.108,0.018
J1421-4820,14:21:38.64669,-48:20:22.7955,0.507,0.531,0.392,0.448,0.512
1421-490,14:24:32.23734,-49:13:49.7437,7.381,5.293,2.656,1.770,1.168
J1424-7241,14:24:52.23821,-72:41:17.0948,0.406,0.358,0.247,0.395,0.397
1422-297,14:25:29.1162,-29:59:54.331,1.474,0.558,0.200,0.050,0.019
J1427-3306,14:27:41.549,-33:05:32.01,0.224,0.454,0.888,0.659,1.871
1424-418,14:27:56.29756258,-42:06:19.4376191,4.435,4.763,3.827,3.593,6.024
1425-274,14:28:28.1931,-27:41:51.042,1.071,0.497,0.030,0.020,0.049
J1431-4501,14:31:00.50130,-45:01:01.4942,0.415,0.346,0.200,0.147,0.219
1430-178,14:32:57.690643,-18:01:35.248850,0.737,0.522,0.530,0.399,0.251
1430-155,14:33:21.459309,-15:48:44.687310,0.569,0.945,0.603,0.368,0.164
J1433-8341,14:33:28.42917,-83:41:08.7090,0.226,0.381,0.408,0.271,0.404
1431-48,14:35:16.797,-48:21:47.76,1.649,0.994,0.373,0.178,0.168
1435-218,14:38:09.469425,-22:04:54.748090,0.608,0.663,0.766,0.876,0.346
1436-167,14:39:28.6749,-16:59:03.082,1.260,0.476,0.099,0.028,-0.001
1437-153,14:39:56.872054,-15:31:50.555240,0.349,0.298,0.349,0.330,0.171
J1442-5407,14:42:32.51221,-54:07:52.9553,0.374,0.268,0.152,0.094,0.094
1442+101,14:45:16.465213,09:58:36.072440,1.879,0.951,0.300,0.140,0.038
1443-162,14:45:53.376319,-16:29:01.619120,0.477,0.408,0.706,0.452,0.228
1445-162,14:48:15.054162,-16:20:24.548880,1.336,1.129,0.380,0.339,0.356
1446+042,14:48:50.361088,04:02:19.892730,0.298,0.366,0.263,0.179,0.157
1448+093,14:50:31.168946,09:10:27.955220,0.216,0.139,0.376,0.153,0.503
J1450-5614,14:50:35.06693,-56:14:52.8320,0.269,0.262,0.200,0.153,0.191
1450-338,14:54:02.47340,-34:00:57.2137,0.930,0.591,0.253,0.149,0.146
1451-375,14:54:27.409764,-37:47:33.144830,0.864,0.851,0.936,0.836,1.069
1451-400,14:54:32.913,-40:12:32.51,0.759,0.561,0.292,0.434,0.241
J1456-5618,14:56:04.22170,-56:18:37.3929,0.221,0.208,0.158,0.125,0.124
J1457-4248,14:57:13.00348,-42:48:36.6799,0.109,0.098,0.094,0.131,0.099
1455+080,14:57:38.128708,07:49:54.714990,0.105,0.147,0.052,0.078,0.109
1456+044,14:58:59.356206,04:16:13.820570,0.507,0.237,0.272,0.227,0.299
1456-367,14:59:15.76376,-36:55:47.9374,1.162,0.685,0.234,0.114,0.073
1458-391,15:01:34.75804,-39:18:39.4346,1.892,1.198,0.365,0.154,0.065
J1504-4248,15:04:06.38942,-42:48:20.7463,0.308,0.212,0.221,0.182,0.295
1502+036,15:05:06.477161,03:26:30.812610,0.437,0.630,0.392,0.453,0.737
1504-166,15:07:04.786960,-16:52:30.267340,1.457,0.928,0.854,0.759,0.778
1505+044,15:07:59.7320,04:15:11.978,0.175,0.166,0.151,0.061,0.232
1505-49,15:08:38.942,-49:53:02.42,0.756,0.797,0.979,0.749,0.841
1508-055,15:10:53.591431,-05:43:07.417180,2.760,1.786,0.951,0.573,0.550
J1511-5203,15:11:08.92607,-52:03:47.2505,0.243,0.258,0.153,0.086,0.118
1509+054,15:11:41.2652,05:18:09.264,0.203,0.860,0.515,0.297,0.114
1510-089,15:12:50.532939,-09:05:59.829500,3.180,5.906,6.627,5.574,3.083
J1513-4221,15:13:30.62182,-42:21:56.1044,0.180,0.289,0.355,0.262,0.403
1511-100,15:13:44.893444,-10:12:00.264350,0.646,1.592,1.768,1.041,0.994
1511-210,15:13:56.970129,-21:14:57.506900,0.319,0.249,0.335,0.094,0.121
1512+030,15:14:34.7340,02:52:48.493,0.126,0.223,0.189,0.162,0.167
1511-47,15:14:40.015,-47:48:30.03,0.408,0.748,0.660,0.600,0.659
1511-55,15:15:12.656,-55:59:33.15,1.383,1.502,0.927,1.446,0.605
1514+004,15:16:40.219072,00:15:01.908960,0.625,0.920,1.179,0.997,1.058
1514-241,15:17:41.813132,-24:22:19.475940,2.346,2.451,2.804,2.022,1.888
1518+045,15:21:22.543597,04:20:30.133630,0.223,0.216,0.221,0.191,0.271
1519-273,15:22:37.67598728,-27:30:10.7854811,1.080,1.748,1.118,0.618,0.715
1520-58,15:24:51.12281,-59:03:39.7193,0.408,0.377,0.349,0.443,0.297
1524-136,15:26:59.440733,-13:51:00.163560,2.016,1.149,0.476,0.218,0.104
J1531-5108,15:31:43.72095,-51:08:59.7325,0.375,0.278,0.181,0.431,0.494
J1533-6837,15:33:34.48787,-68:37:19.6509,0.252,0.237,0.242,0.176,0.238
J1534-5351,15:34:20.66027,-53:51:13.4246,0.698,1.169,1.234,0.982,1.017
1532+016,15:34:52.453675,01:31:04.206570,0.723,0.887,0.718,0.603,0.554
J1535-4730,15:35:52.24098,-47:30:22.9795,0.303,0.799,0.408,0.571,0.364
J1538-6525,15:38:11.91520,-65:25:51.1963,0.215,0.195,0.107,0.103,0.072
1535+004,15:38:15.953081,00:19:05.324150,0.495,0.347,0.233,0.139,0.081
1536+046,15:39:10.1047,04:30:51.243,0.131,0.318,0.109,0.227,0.250
1540-077,15:43:01.687567,-07:57:06.629160,1.414,0.985,0.456,0.253,0.127
1542+042,15:44:59.427327,04:07:46.357270,0.631,0.384,0.239,0.400,0.720
1543+005,15:46:09.531474,00:26:24.614080,1.311,0.881,0.430,0.261,0.180
J1546-6837,15:46:44.34116,-68:37:29.8578,0.176,0.141,0.240,0.136,0.329
J1548-6401,15:48:30.39693,-64:01:34.7927,0.371,0.286,0.424,0.299,0.494
1546+027,15:49:29.436847,02:37:01.163470,0.906,2.828,1.354,2.982,4.653
1548+056,15:50:35.269240,05:27:10.448230,3.027,2.431,2.267,1.670,2.063
1540-828,15:50:59.144,-82:58:06.84,0.869,1.303,1.063,0.724,1.750
J1552-7614,15:52:20.44222,-76:14:46.9326,0.304,0.289,0.193,0.149,0.421
1550-269,15:54:02.469795,-27:04:40.233150,1.066,0.807,0.454,0.380,0.328
J1555-4522,15:55:16.39424,-45:22:38.1510,0.435,0.369,0.227,0.129,0.079
1549-790,15:56:58.871,-79:14:04.28,4.160,2.177,0.831,0.394,0.548
1555+001,15:57:51.433973,-00:01:50.413710,0.298,0.703,0.717,0.419,0.435
1555-140,15:58:21.948056,-14:09:59.050910,0.579,0.490,0.193,0.135,0.056
1554-64,15:58:50.28448028,-64:32:29.6381117,0.530,0.563,0.444,0.351,0.322
1557+032,15:59:30.972610,03:04:48.256960,0.516,0.556,0.277,0.151,0.151
1600-48,16:03:50.688,-49:04:05.74,1.375,1.121,0.686,0.464,0.264
1600-44,16:04:31.02071648,-44:41:31.9731375,1.021,0.713,0.709,1.662,1.378
1602+014,16:04:45.2917,01:17:51.222,0.654,0.079,0.116,0.125,0.029
1602-174,16:05:02.1926,-17:34:14.406,0.943,0.207,0.029,0.005,0.052
1604-333,16:07:34.76236340,-33:31:8.9135251,0.152,0.186,0.213,0.314,0.101
1606-39,16:10:21.87909,-39:58:58.3274,0.839,0.795,0.844,1.135,0.935
1614+051,16:16:37.556816,04:59:32.736630,0.493,1.309,0.823,0.340,0.233
1613-586,16:17:17.88951,-58:48:07.8604,5.804,4.467,3.157,2.023,1.632
J1617-5914,16:17:41.95749,-59:14:35.9908,0.213,0.227,0.220,0.188,0.058
1610-771,16:17:49.278,-77:17:18.46,2.748,2.390,1.704,1.447,0.608
1615+029,16:17:49.908132,02:46:43.105200,0.590,0.458,0.347,0.348,0.153
1616+063,16:19:03.687684,06:13:02.243570,0.670,0.577,0.318,0.200,0.090
1607-841,16:19:33.97,-84:18:19.1,1.026,0.287,0.071,0.026,0.031
J1619-4228,16:19:54.99960,-42:28:15.1694,0.029,0.030,0.108,0.075,0.022
1616-52,16:20:17.840,-52:09:26.55,0.279,0.340,0.304,0.256,0.097
1621+078,16:23:58.2523,07:41:30.541,0.108,0.173,0.308,0.279,0.136
1621-115,16:23:59.5170,-11:40:43.790,1.655,0.176,0.038,0.037,0.031
1621+058,16:24:07.7339,05:43:24.230,0.097,0.123,0.115,0.134,0.037
1619-680,16:24:18.438,-68:09:12.50,1.938,1.907,1.009,0.337,0.162
1622-253,16:25:46.891639,-25:27:38.326880,1.621,1.790,1.266,0.974,2.170
1622-310,16:25:55.4381,-31:08:08.341,0.973,0.251,0.255,0.159,0.085
1622-297,16:26:6.02083871,-29:51:26.9711475,2.278,2.728,3.018,2.659,1.577
1623-492,16:27:03.86,-49:23:37.44,0.003,0.003,0.008,0.001,0.002
1624-61,16:28:54.68986208,-61:52:36.3979984,1.164,0.935,0.839,0.374,0.162
J1628-49,16:28:57.70,-49:36:25.00,0.008,0.003,0.017,0.002,0.031
1625-492,16:29:23.39,-49:22:03.11,0.097,0.111,0.104,0.144,0.098
J1631-5256,16:31:07.35146,-52:56:35.7493,0.123,0.106,0.092,0.103,0.115
J1631-4345,16:31:37.93492,-43:45:25.2380,0.235,0.282,0.200,0.171,0.078
J1639-6044,16:39:25.88072,-60:44:22.0390,0.209,0.223,0.161,0.140,0.059
1633-810,16:42:57.34592790,-81:08:35.0706182,0.141,0.242,0.132,0.137,0.315
1641+074,16:44:16.3304,07:20:33.765,0.356,0.260,0.158,0.093,0.000
1643-223,16:46:04.7335,-22:27:59.903,0.948,0.254,0.058,0.024,0.002
1642-645,16:47:37.73881,-64:38:00.2735,0.469,0.649,0.392,0.485,0.373
1646+042,16:49:27.6788,04:12:03.979,0.422,0.406,0.331,0.279,0.226
1647+065,16:49:50.4911,06:26:53.444,0.345,0.340,0.234,0.275,0.091
1646-50,16:50:16.635,-50:44:48.37,1.203,1.692,0.978,1.023,1.795
1648+084,16:50:37.5622,08:24:52.241,0.144,0.170,0.164,0.285,0.110
1647-296,16:50:39.544144,-29:43:46.954940,0.471,0.765,0.763,0.524,1.353
1648+015,16:51:03.662382,01:29:23.458780,0.561,0.603,0.485,0.366,0.363
1649+063,16:52:01.3998,06:18:55.345,0.301,0.375,0.394,0.302,0.174
J1657-6121,16:57:49.00912,-61:21:37.8586,0.179,0.163,0.124,0.077,0.014
1655+077,16:58:09.011458,07:41:27.540720,1.027,1.316,1.272,0.938,1.113
1656+053,16:58:33.447350,05:15:16.444450,1.328,0.967,0.370,0.148,0.126
1656-075,16:58:44.0610,-07:39:17.629,0.969,0.841,0.528,0.249,0.130
J1659-5247,16:59:02.41386,-52:47:14.3318,0.148,0.167,0.120,0.151,0.063
1657+054,17:00:23.9556,05:22:44.088,0.155,0.229,0.183,0.135,0.074
1657-261,17:00:53.154055,-26:10:51.725110,1.350,2.204,2.011,0.898,1.281
1657-298,17:01:09.7599,-29:54:39.229,1.242,0.500,0.161,0.068,0.028
J1701-5703,17:01:27.23287,-57:03:01.9867,0.148,0.167,0.231,0.128,0.079
1657-56,17:01:44.85813758,-56:21:55.9023100,1.902,1.713,1.261,0.793,0.490
1658-62,17:03:36.54128095,-62:12:40.0089283,0.651,0.743,1.055,1.693,0.381
J1703-6511,17:03:50.45352,-65:11:06.3292,0.213,0.210,0.218,0.080,0.129
J1704-5751,17:04:18.06371,-57:51:01.6017,0.195,0.257,0.186,0.148,0.068
1705+018,17:07:34.415277,01:48:45.699230,0.540,1.009,0.794,0.714,0.279
1706+006,17:08:44.6472,00:35:09.500,0.558,0.331,0.271,0.371,0.323
1706-174,17:09:34.345380,-17:28:53.364800,0.625,0.754,0.691,0.384,0.276
J1711-5028,17:11:40.99293,-50:28:17.4079,0.107,0.079,0.084,0.059,0.105
1709-281,17:12:57.0055,-28:09:33.056,2.495,0.660,0.095,-0.003,-0.010
1710-269,17:13:31.2756,-26:58:52.523,1.076,1.119,0.739,0.609,0.299
J1713-3706,17:13:44.63,-37:06:11.3,0.410,0.121,0.001,-0.002,
1711-251,17:14:47.8570,-25:14:35.144,1.786,0.614,0.149,0.052,0.011
J1716-6045,17:16:55.85125,-60:45:44.6688,0.249,0.151,0.126,0.049,0.067
J1717-5702,17:17:02.05988,-57:02:16.8480,0.195,0.240,0.265,0.178,0.226
J1717-5155,17:17:34.69203,-51:55:31.9248,0.299,0.380,0.472,0.559,0.700
1714-336,17:17:36.0300,-33:42:08.764,0.787,1.084,0.625,0.725,1.714
1714-397,17:17:38.5977,-39:48:52.586,2.115,1.071,0.498,0.265,0.153
J1718-5815,17:18:37.79497,-58:15:39.8772,0.162,0.161,0.108,0.115,0.098
J1718-6239,17:18:58.35929,-62:39:45.7913,0.285,0.249,0.135,0.130,0.045
1716+070,17:19:10.9335,06:58:15.745,0.330,0.447,0.298,0.256,0.190
1717+083,17:19:52.206219,08:17:03.553930,0.275,0.599,0.275,0.137,0.036
1717-358,17:20:21.8042,-35:52:47.708,0.027,0.062,0.504,0.264,0.553
J1721-6154,17:21:39.01729,-61:54:43.0217,0.279,0.332,0.455,0.295,0.144
1718-649,17:23:41.029,-65:00:36.61,4.874,4.738,2.218,1.425,0.729
J1723-7713,17:23:50.84518,-77:13:50.5438,0.381,0.432,0.904,0.576,1.490
J1724-5911,17:24:49.67857,-59:11:25.0189,0.225,0.227,0.152,0.122,0.056
J1726-7259,17:26:01.11219,-72:59:59.9921,0.422,0.375,0.283,0.291,0.041
1724+066,17:26:44.9455,06:39:18.503,0.217,0.199,0.157,0.105,0.092
1722-55,17:26:49.615,-55:29:40.60,4.711,1.826,0.275,0.088,0.010
1722-64,17:26:57.813,-64:27:52.79,2.760,1.068,0.241,0.084,0.007
1725+044,17:28:24.952716,04:27:04.914010,0.628,0.708,0.723,0.687,0.373
1728+004,17:30:34.9985,00:24:38.673,0.375,0.500,0.659,0.308,0.782
J1732-5553,17:32:28.24887,-55:53:51.4106,0.134,0.156,0.144,0.096,0.006
1730-130,17:33:02.705790,-13:04:49.548230,4.524,4.246,4.450,3.760,3.250
1729-37,17:33:15.19258832,-37:22:32.3967707,0.986,1.133,1.614,1.383,1.121
1732+094,17:34:58.376995,09:26:58.260060,1.434,0.924,0.283,0.103,-0.003
J1735-6215,17:35:07.92806,-62:15:21.5302,0.445,0.367,0.348,0.269,0.245
1734+063,17:37:13.729042,06:21:03.572370,0.526,0.522,0.419,0.470,0.197
J1737-5921,17:37:19.67547,-59:21:41.8898,0.286,0.415,0.390,0.292,0.164
J1738-5334,17:38:38.79100,-53:34:10.0184,0.175,0.192,0.117,0.101,0.016
J1739-4137,17:39:05.50716,-41:37:44.1243,0.818,0.516,0.263,0.156,0.082
1740-309,17:43:17.8801,-30:58:17.697,0.305,0.271,0.174,0.096,0.066
J1743-6626,17:43:49.04258,-66:26:28.3333,0.184,0.217,0.215,0.136,0.180
1741-038,17:43:58.856137,-03:50:04.616680,2.627,3.694,4.315,3.602,3.930
1741-312,17:44:23.5826,-31:16:35.986,0.634,0.755,0.816,0.719,0.412
1740-517,17:44:25.45534,-51:44:43.7611,6.469,4.111,1.436,0.655,0.033
1742-078,17:45:27.1040,-07:53:03.600,1.019,1.917,1.596,1.024,1.171
1742-289,17:45:40.0383,-29:00:28.069,0.049,0.825,0.901,1.362,3.880
J1747-4057,17:47:05.67297,-40:57:50.7201,0.269,0.227,0.192,0.136,0.127
1743-531,17:47:20.19836,-53:10:20.3310,0.456,0.460,0.275,0.242,0.390
J1747-4213,17:47:41.42692,-42:13:43.0726,0.120,0.118,0.083,0.062,0.109
1745+085,17:48:06.2607,08:32:19.282,0.177,0.182,0.108,0.093,0.010
J1748-5713,17:48:34.57352,-57:13:33.4595,0.183,0.216,0.168,0.124,0.073
J1749-6258,17:49:25.71059,-62:58:18.9512,0.068,0.223,0.234,0.373,0.146
1749+096,17:51:32.818573,09:39:00.728510,2.415,2.674,3.139,4.077,3.002
1748-253,17:51:51.263047,-25:24:00.060610,0.815,0.389,0.117,0.053,-0.004
J1753-5015,17:53:38.53457,-50:15:14.4487,0.121,0.200,0.220,0.182,0.138
J1755-5536,17:55:05.18996,-55:36:55.0818,0.188,0.368,0.256,0.240,0.161
1752-225,17:55:26.2847,-22:32:10.593,0.307,0.339,0.271,0.169,0.129
J1757-4149,17:57:15.67121,-41:49:18.6834,0.359,0.369,0.319,0.309,0.246
1757-240,18:00:30.427,-24:04:01.47,0.261,0.442,1.358,0.325,
1756-663,18:01:18.092,-66:23:01.80,1.217,0.478,0.127,0.044,-0.028
J1801-6839,18:01:34.70473,-68:39:57.8655,0.459,0.373,0.170,0.028,-0.004
J1802-4925,18:02:09.85037,-49:25:11.4957,0.452,0.391,0.245,0.209,0.082
1759-39,18:02:42.669,-39:40:07.97,1.457,1.861,1.612,1.467,1.927
1758-651,18:03:23.497,-65:07:36.76,0.852,0.960,0.948,0.732,0.873
1801+095,18:03:33.6521,09:34:25.910,0.142,0.122,0.116,,0.083
1801+036,18:03:56.2829,03:41:07.575,0.281,0.318,0.336,0.290,0.438
1801+010,18:04:15.984606,01:01:32.407340,0.845,0.957,0.911,0.577,
J1805-6600,18:05:53.09361,-66:00:16.5614,0.250,0.167,0.154,0.164,0.081
J1806-7058,18:06:23.68525,-70:58:28.7597,0.394,0.400,0.232,0.131,0.005
J1806-8042,18:06:42.83115,-80:42:33.6008,0.276,0.240,0.239,0.234,0.857
1804-251,18:07:40.6899,-25:06:25.906,0.247,0.269,0.251,0.187,0.174
J1807-6413,18:07:54.03566,-64:13:50.1131,0.221,0.280,0.290,0.240,0.383
1808-209,18:11:06.8000,-20:55:03.444,0.685,0.303,0.079,0.035,0.159
1810-068,18:12:50.941918,-06:48:23.853810,1.088,0.748,0.249,0.151,0.295
1811+062,18:13:33.4119,06:15:42.025,0.284,0.411,0.287,,0.381
1814-519,18:18:06.50,-51:58:08.30,1.731,0.559,0.065,0.045,-0.002
1815-111,18:18:19.3166,-11:08:48.329,1.675,1.014,0.371,0.151,0.104
1814-637,18:19:35.002381,-63:45:48.18906,9.672,3.338,1.346,0.571,0.384
1815-553,18:19:45.400,-55:21:20.74,0.508,0.672,0.402,0.383,0.273
J1820-4542,18:20:16.97956,-45:42:30.5506,0.349,0.282,0.141,0.057,0.012
1817-098,18:20:38.1071,-09:47:17.071,0.651,0.110,0.079,0.053,0.009
1817-254,18:20:57.848685,-25:28:12.584560,1.105,0.916,0.731,0.510,0.675
J1821-7635,18:21:24.68735,-76:35:00.1477,0.483,0.341,0.169,0.108,0.221
1819-131,18:22:10.9030,-13:09:44.230,0.367,0.162,0.037,0.010,0.008
1819-096,18:22:28.7042,-09:38:56.835,4.389,1.973,0.664,0.249,0.134
1822+012,18:24:48.1427,01:19:34.171,0.159,0.260,0.239,0.178,0.283
J1825-5230,18:25:13.80947,-52:30:58.2840,0.362,0.437,0.576,0.284,0.402
1822-173,18:25:36.53243551,-17:18:49.8513660,0.448,0.410,0.247,0.135,0.109
1822-076,18:25:37.6020,-7:37:30.223,0.384,0.512,0.206,0.118,0.224
1822-36,18:26:08.127,-36:50:49.87,0.383,0.405,0.344,0.327,0.590
1823-455,18:27:10.23816,-45:33:09.9619,0.342,0.455,0.359,0.244,0.100
1824-582,18:29:12.40226430,-58:13:55.1614758,0.547,1.342,1.412,1.213,0.335
J1829-5705,18:29:27.58066,-57:05:34.1735,0.238,0.279,0.336,0.171,0.143
1827+062,18:30:05.939885,06:19:15.952480,0.426,0.456,0.863,,0.599
1827-360,18:30:58.8829,-36:02:30.132,3.493,0.839,0.048,0.019,0.010
1829-207,18:32:11.0465,-20:39:48.203,1.303,1.036,0.658,0.486,0.630
1829-106,18:32:20.83444181,-10:35:11.1709053,0.987,1.626,1.154,0.677,0.305
J1832-5659,18:32:30.97761,-56:59:20.7281,0.162,0.126,0.089,0.072,0.240
1830+074,18:32:41.989113,07:31:55.124060,0.279,0.361,0.358,,0.359
1830-210,18:33:39.9150,-21:03:40.050,10.205,6.510,3.849,6.330,2.511
1831-030,18:34:13.9273,-03:01:21.125,0.206,0.228,0.166,0.129,0.189
1831-126,18:34:19.2165,-12:37:40.945,0.377,0.147,0.026,0.006,0.004
J1834-5856,18:34:27.47349,-58:56:36.2711,0.438,0.345,0.314,0.199,0.464
1829-718,18:35:37.20516,-71:49:58.2284,1.981,0.927,0.278,0.119,-0.014
1831-711,18:37:28.716,-71:08:43.55,1.285,1.457,1.810,1.404,1.294
1836+040,18:38:48.829034,04:04:24.669270,0.525,0.615,0.576,0.410,0.687
1836+094,18:38:54.8357,09:27:27.897,0.146,0.141,0.188,,0.147
J1840-6152,18:40:15.42475,-61:52:06.1561,0.203,0.113,0.106,0.082,0.223
J1840-7709,18:40:38.60234,-77:09:28.6924,0.527,0.202,0.104,0.063,0.197
J1841-5544,18:41:17.49779,-55:44:16.9907,0.234,0.202,0.176,0.095,0.080
1844+081,18:47:12.6613,08:10:35.377,0.125,0.326,0.217,,0.190
1849+005,18:51:46.7217,00:35:32.414,0.859,0.932,0.883,0.695,0.710
1849-36,18:53:17.916,-36:28:42.37,1.078,0.647,0.191,0.079,0.012
J1856-8325,18:56:05.11546,-83:25:43.7099,0.138,0.168,0.160,0.125,0.290
1854+061,18:56:31.8386,06:10:16.754,0.182,0.303,0.325,,0.233
1853-534,18:57:00.451,-53:25:00.38,0.597,0.547,0.248,0.130,0.055
1854-663,18:59:57.94,-66:15:02.3,1.115,0.414,0.077,0.013,0.005
J1901-5139,19:01:49.00815,-51:39:08.0099,0.201,0.227,0.255,0.212,0.123
1859-235,19:02:49.2525,-23:29:52.084,2.288,0.855,0.241,0.078,0.127
J1903-6749,19:03:01.23252,-67:49:35.8572,0.208,0.267,0.373,0.243,0.499
1904+013,19:07:11.9969,01:27:08.974,0.530,0.422,0.297,0.203,0.334
J1908-4548,19:08:43.93630,-45:48:41.3030,0.107,0.136,0.160,0.125,0.094
J1910-7417,19:10:21.87642,-74:17:33.1861,0.247,0.336,0.253,0.260,0.589
1908-201,19:11:09.652893,-20:06:55.109070,2.089,2.799,1.794,1.644,2.326
1903-802,19:12:40.021,-80:10:05.94,1.037,1.046,0.928,0.748,1.528
1910+052,19:12:54.3036,05:18:01.002,0.338,0.277,0.182,,0.094
J1913-6950,19:13:31.24803,-69:50:37.5583,0.040,0.060,0.221,0.170,0.126
J1914-4631,19:14:13.81390,-46:31:31.9381,0.278,0.497,0.468,0.335,0.252
J1919-4543,19:19:16.69217,-45:43:38.5770,0.578,0.414,0.296,0.199,0.341
1916+062,19:19:17.3514,06:19:42.768,0.210,0.154,0.114,,0.090
J1923-6320,19:23:24.60605,-63:20:45.7656,0.282,0.327,0.195,0.323,0.153
1920-211,19:23:32.189815,-21:04:33.333080,1.816,1.846,1.570,1.527,2.290
1921-293,19:24:51.055957,-29:14:30.121150,7.499,7.627,8.103,6.907,6.702
1926+087,19:28:40.855498,08:48:48.413060,0.378,0.272,0.195,,0.092
1926+050,19:29:19.9475,05:07:57.596,0.482,0.505,0.305,,0.192
1925-610,19:30:06.160,-60:56:09.18,0.938,1.135,0.729,0.473,0.266
J1934-8711,19:34:25.97107,-87:11:59.4830,0.446,0.456,0.257,0.183,0.072
1933-400,19:37:16.218,-39:58:01.55,1.098,1.294,1.054,0.908,0.820
1933-587,19:37:32.37,-58:38:27.80,1.939,0.954,0.250,0.109,0.001
1936+046,19:38:30.6690,04:48:11.621,0.587,0.495,0.415,0.330,0.256
1934-638,19:39:25.026,-63:42:45.63,12.643,4.959,1.158,0.465,0.116
1936-155,19:39:26.657740,-15:25:43.058320,0.676,0.700,1.231,0.882,0.707
1937-101,19:39:57.256573,-10:02:41.521100,0.955,0.746,0.306,0.159,0.097
1935-692,19:40:25.529,-69:07:56.97,1.314,0.906,0.406,0.134,0.208
J1940-6527,19:40:38.88330,-65:27:16.4025,0.176,0.221,0.134,0.147,0.066
1938-155,19:41:15.0289,-15:24:31.309,2.474,1.220,0.330,0.065,0.033
J1941-7605,19:41:31.26222,-76:05:48.5934,0.120,0.142,0.112,0.083,0.190
1941-554,19:45:24.22874,-55:20:48.8410,0.764,0.919,0.693,0.526,0.604
J1949-6817,19:49:53.35960,-68:17:45.6358,0.052,0.099,0.278,0.089,0.085
1946-200,19:49:53.420177,-19:57:13.330400,1.584,0.869,0.338,0.205,0.585
1947+079,19:50:05.5403,08:07:13.981,1.265,1.099,0.419,,0.051
J1950-5804,19:50:37.40172,-58:04:39.7482,0.334,0.317,0.141,0.210,0.034
1950-613,19:55:10.770431,-61:15:19.13974,1.345,0.820,0.229,0.083,-0.015
1953-077,19:56:11.0910,-07:36:54.567,1.017,0.353,0.104,0.080,0.122
1953-325,19:56:59.45528,-32:25:46.0069,0.683,0.494,0.405,0.335,0.722
1954-388,19:57:59.819,-38:45:06.36,1.745,1.362,1.424,1.298,1.572
1955-357,19:59:03.68,-35:34:32.30,1.174,0.476,0.087,0.073,0.073
J1959-4246,19:59:13.27773,-42:46:07.5148,0.317,0.368,0.389,0.305,0.315
1958-179,20:00:57.090448,-17:48:57.672510,0.979,2.583,3.329,2.730,4.469
2000-330,20:03:24.117,-32:51:45.13,0.661,0.780,0.489,0.265,0.149
1959-63,20:04:29.47801,-63:47:23.3098,0.826,0.717,0.423,0.282,0.335
2002-375,20:05:55.07090504,-37:23:41.4818306,0.462,0.720,0.644,0.407,0.402
J2007-7730,20:07:06.45784,-77:30:42.2436,0.235,0.229,0.212,0.232,0.463
