Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
0406-127,04:09:05.769732,-12:38:48.144100,0.200,0.309,0.214,0.134,0.034
0406-180,04:09:06.7000,-17:57:10.039,1.615,0.745,0.258,0.127,0.031
0406+065,04:09:25.8474,06:40:35.086,0.130,0.148,0.083,0.099,0.034
0408+085,04:11:33.8575,08:43:11.408,0.176,0.128,0.173,0.135,0.065
0409+000,04:12:33.456407,00:10:48.493230,0.193,0.169,0.169,0.147,0.055
J0412-8335,04:12:39.77308,-83:35:21.2062,0.138,0.172,0.155,0.028,0.161
J0412-4604,04:12:50.29957,-46:04:49.6380,0.360,0.304,0.189,0.064,0.146
0411-346,04:13:00.9438,-34:30:10.193,0.806,0.370,0.042,0.029,0.165
J0415-4737,04:15:54.25523,-47:37:35.4109,0.183,0.229,0.236,0.225,0.186
J0415-4637,04:15:58.68851,-46:37:49.2747,0.431,0.346,0.193,0.102,0.029
0413-210,04:16:04.359742,-20:56:27.517790,1.758,0.659,0.573,0.461,0.195
0414-341,04:16:10.05417,-34:03:03.9613,0.608,0.383,0.181,0.112,0.158
0414-189,04:16:36.544466,-18:51:08.340120,0.988,0.786,0.683,0.416,0.281
0420-625,04:20:56.13,-62:23:38.70,2.241,0.817,0.198,0.069,0.019
0420+022,04:22:52.214644,02:19:26.931920,1.377,1.267,0.864,0.634,0.706
0420-014,04:23:15.800727,-01:20:33.065310,1.802,1.502,1.633,1.343,1.952
0421+019,04:24:08.562028,02:04:24.964950,0.913,0.653,0.311,0.133,0.016
0422-380,04:24:42.244,-37:56:20.78,0.557,1.398,1.151,0.887,0.742
0422+004,04:24:46.842052,00:36:06.329830,0.296,0.566,0.535,0.853,0.287
J0425-5331,04:25:04.27303,-53:31:58.2600,0.237,0.326,0.281,0.198,0.149
J0425-6646,04:25:06.76626,-66:46:50.2661,0.250,0.308,0.168,0.097,0.058
0423+051,04:26:36.604102,05:18:19.872040,0.687,0.576,0.447,0.371,0.276
0425+048,04:27:47.570514,04:57:08.325980,0.329,0.303,0.302,0.236,0.330
0426-380,04:28:40.424,-37:56:19.58,1.137,3.336,4.270,4.256,2.499
J0428-5005,04:28:42.63223,-50:05:34.2952,0.350,0.396,0.360,0.220,0.144
